Date,Minf2,Pip2,Msup2,Trend2,Tail2,Minf1,Pip1,Psup1,Trend1,Tail1,Out,High1,Low1,High2,Low2,Open1,Close1,slTmp,tpTmp
2021.05.27,155,28,217,Up,400,569,36,118,down,723,gain,122050,121327,122151,121751,121932,121896,118,605
2021.05.28,569,36,118,down,723,160,257,64,up,481,gain,122314,121833,122050,121327,121993,122250,160,321
2021.05.31,160,257,64,Up,481,8,128,289,down,425,gain,122543,122118,122314,121833,122254,122126,289,136
2021.06.01,8,128,289,down,425,457,25,140,down,622,pert,122265,121643,122543,122118,122125,122100,482,140
2021.06.02,457,25,140,down,622,82,832,46,down,960,pert,122143,121183,122265,121643,122097,121265,914,46
2021.06.03,82,832,46,down,960,220,401,194,up,815,gain,121856,121041,122143,121183,121261,121662,220,595
2021.06.04,220,401,194,Up,815,147,298,125,up,570,pert,122018,121448,121856,121041,121595,121893,423,147
2021.06.07,147,298,125,Up,570,83,165,51,down,299,gain,121942,121643,122018,121448,121891,121726,51,248
2021.06.08,83,165,51,down,299,13,65,392,up,470,gain,122179,121709,121942,121643,121722,121787,13,457
2021.06.09,13,65,392,Up,470,319,36,163,down,518,gain,121950,121432,122179,121709,121787,121751,163,355
2021.06.10,319,36,163,down,518,136,688,180,down,1004,pert,121931,120927,121950,121432,121751,121063,824,180
2021.06.11,136,688,180,down,1004,83,175,103,up,361,gain,121303,120942,121931,120927,121025,121200,83,278
2021.06.14,83,175,103,Up,361,176,74,209,up,459,pert,121473,121014,121303,120942,121190,121264,283,176
2021.06.15,176,74,209,Up,459,3,1313,92,down,1408,gain,121348,119940,121473,121014,121256,119943,92,1316
2021.06.16,3,1313,92,down,1408,151,870,125,down,1146,pert,120064,118918,121348,119940,119939,119069,1021,125
2021.06.17,151,870,125,down,1146,60,459,195,down,714,pert,119251,118537,120064,118918,119056,118597,519,195
2021.06.18,60,459,195,down,714,73,635,27,up,735,gain,119212,118477,119251,118537,118550,119185,73,662
2021.06.21,73,635,27,Up,735,357,247,112,up,716,pert,119525,118809,119212,118477,119166,119413,359,357
2021.06.22,357,247,112,Up,716,142,118,327,down,587,gain,119703,119116,119525,118809,119376,119258,327,260
2021.06.23,142,118,327,down,587,79,61,248,up,388,gain,119563,119175,119703,119116,119254,119315,79,309
2021.06.24,79,61,248,Up,388,50,55,382,up,487,pert,119752,119265,119563,119175,119315,119370,437,50
2021.06.25,50,55,382,Up,487,217,74,129,down,420,gain,119445,119025,119752,119265,119316,119242,129,291
2021.06.29,183,270,68,down,521,108,394,136,down,638,pert,119090,118452,119298,118777,118954,118560,502,136
2021.06.30,108,394,136,down,638,123,62,283,down,468,pert,118842,118374,119090,118452,118559,118497,185,283
2021.07.01,123,62,283,down,468,420,155,97,up,672,gain,118743,118071,118842,118374,118491,118646,420,252
2021.07.02,420,155,97,Up,672,61,58,171,up,290,pert,118805,118515,118743,118071,118576,118634,229,61
2021.07.05,61,58,171,Up,290,164,388,331,down,883,gain,118950,118067,118805,118515,118619,118231,331,552
2021.07.06,164,388,331,down,883,86,332,127,down,545,pert,118362,117817,118950,118067,118235,117903,418,127
2021.07.07,86,332,127,down,545,63,550,230,up,843,gain,118679,117836,118362,117817,117899,118449,63,780
2021.07.08,63,550,230,Up,843,189,334,37,up,560,pert,118811,118251,118679,117836,118440,118774,371,189
2021.07.09,189,334,37,Up,560,245,109,87,down,441,gain,118802,118361,118811,118251,118715,118606,87,354
2021.07.12,245,109,87,down,441,41,828,159,down,1028,pert,118752,117724,118802,118361,118593,117765,869,159
2021.07.13,41,828,159,down,1028,42,597,30,up,669,gain,118388,117719,118752,117724,117761,118358,42,627
2021.07.14,42,597,30,Up,669,156,231,157,down,544,gain,118506,117962,118388,117719,118349,118118,157,387
2021.07.15,156,231,157,down,544,134,63,106,down,303,pert,118224,117921,118506,117962,118118,118055,197,106
2021.07.16,134,63,106,down,303,347,67,189,down,603,pert,118243,117640,118224,117921,118054,117987,414,189
2021.07.19,347,67,189,down,603,247,175,45,down,467,pert,118025,117558,118243,117640,117980,117805,422,45
2021.07.20,247,175,45,down,467,277,150,101,up,528,gain,118047,117519,118025,117558,117796,117946,277,251
